Query,Category
why there is no power supply in my street,1
In our are we dont have power,1
we dont have power in our area,1
we dont have  electricity  In our area,1
in our area we dont have electricity,1
we dont have current in our area,1
in our area we dont have current,1
There is no power supply in our area,1
No power supply in our area,1
our area dont have power,1
our area dont have power supply,1
our area dont have electricty,1
In our are we didnt have power,1
we didnt have power in our area,1
we didnt have  electricity  In our area,1
in our area we didnt have electricity,1
we didnt have current in our area,1
in our area we didnt have current,1
our area didnt have power,1
our area didnt have power supply,1
our area didnt have electricty,1
No electricity in our area,1
we lost power supply,1
power loss is happened in our area,1
there is no current supply,1
electricity is stopped in my area,1
power supply is cut down im my area,1
there is power shutdown for a while in my area,1
there is power cut due to heavy storm in my area,1
The power supply  is stopped in my area,1
We are suffering from lack of power supply in our area,1
When will current come back,1
There is power shortage in my area,1
When do we expect the power back,1
When will the power supply resume,1
our street people are struggling due to the power loss for about 6 hours,1
voltage fluctuation in our area power supply,2
voltage drops happen iin our area power supply,2
we have low power supply due to low voltage,2
voltage drop occurs in our area,2
The voltage fluctuation is happened in my area,2
we are strugling due to voltage drop in our area,2
there is  voltage drop  in our street power line,2
Voltage fluctuation ocuurs oftenly in our street,2
We are facing low voltage problem,2
We don't have proper voltage supply in our area,2
There is continous voltage fluctuation in my area,2
Voltage drop in my area,2
Voltage fluctuation occurs continously in my area,2
There is heavy voltage drop in our area,2
In our street  voltage drops occurs often,2
Voltage drop occurs in my street ,2
voltage fluctuation in my area,2
We are facing recently electric accident due to heavy voltage,2
There is a drop in voltage in my area,2
We area facing voltage fluctuation problem in my area,2
can you tell the reason for voltage drop,2
There is transformer burst near my house,3
In my area heavy load vehicle cuts the power line,3
The tree fallen in power line near my house,3
in my area tree fallen in power line,3
power line cuts due to heavy rain,3
The transformer is bursted due to heavy lightning,3
Tree fallen in power line cause the power cut in my street,3
Tree near my house has fallen in power line,3
We lacking power supply for about 12 hours due to transformer burst,3
Transformer burst due to heavy load. That interrupted the power supply in my area,3
Trees fall on the power line which interrupt the power supply in my area,3
Power line cuts due to heavy rain,3
Vehicle cut the power line by accident. So we don't have power supply,3
power line is on fire,3
power transmission tower fall down,3
electricity is leaking in the nearby power line,3
"In my area, the power line is fallen down due to heavy storm",3
"In our area ,The transformer bursts due to heavy voltage passing",3
We have insufficient power supply due to low voltage occurs in my area,3
Heavy rain cuts the power line in my area,3
Heavy storm cuts the power line in my area,3
electric post fall down,3
Heavy load vehicle cut the power line by accident,3
The power supply is interrupted because of the power line collpase in my area,3
Emergency situation. stop the power supply in my area,4
Fire accident in my neighborhood. Stop the power supply,4
"Due to heavy rain, power line fell in the roads. So please stop the power supply",4
Storms causing power line to cut down on the roads. Please stop the power supply,4
"There is power line cuts due heavy rain and flood , please cut the power ",4
Our street is flooded with rain water. Stop electricity supply to our street,4
"Fire accident due gas explosion near my house , cut the power supply to my street",4
"Heavy rain and storm cuts the power line in my neighborhood, cut down the power supply",4
"A fire accident is happened near my street , so shutdown the power supply",4
"there is an accident due to short-circuit in my area , stop power supply",4
"Transformer Burst causes the fire accident in my street , so stop the power supply  ",4
"Fire accident is occurent in near my street due to heavy voltage ,  cut down the power supply ",4
"Stop the current in my area immeadiately , since there  is fire accident ",4
"Cut down the power supply in my area, since there is fire accident occured my street",4
"A fire accident is occured in my area , pls shutdown the power supply ",4
"stop the power supply near my area , since fire accident is happened",4
"Shutdown the electrcity supply to my area , since fire accident is occured in my area ",4
Stop the current in my area because a fire accident is happened,4
Cut the power supply because fire accident occured,4
"You have to stop the power supply  ,since there is fire accident",4
"A fire accident in my near street, cut down power supply",4
"Due to heavy storm and thunder, there is fire accident in my area so stop the power supply",4
"Please stop the power supply ,since there is heavy flood in my street",4
"Due to heavy rain and storm power line wire is cut down , so shutdown the power suppply ",4
"Rainy water is flooded in houses in my area, so stop the power supply",4
"Houses in our street is flooded with water due to rain , shutdown the current",4
"Rain water is passing through the houses in my street , cut down the current",4
"There is heavy storm and thunder , please stop the power supply in order to avoid damage to electric appliances",4
"Stop the power supply in order to avoid damage to elecrtric appliances, since there is heavy storm and thunder in my area",4
